	transcript	backchannel	start	end	role	folder
0	음 50분 상담인데 이제 어 그 50분 동안은 많은 것을 다 다루지는 않지만 그래도 불편한 부분을 또 말씀을 해주셨어요.	1	0.0	11.2	counselor	1
1	네	0	2.59	2.847	client	1
2	그래서 이제 그 부분에 대해서 좀 이야기를 하면 좋을 것 같고요. 음 설렘 반 걱정 반에 대해서 조금 이야기를 해주시면 어떨까요? 먼저	0	12.0	22.15	counselor	1
3	음 어 우선 설렘이라고 하면은 본인들이 어떤 갖고 있는 어떤 걱정이나 좀 우울감 이런 게 사람들마다 다 있을 텐데	1	22.055	34.335	client	1
4	으음	0	34.3	35.0	counselor	1
5	 많은 분들이 뭐 상담도 받고, 아님 정신과도 가고 뭐 이런 걸 한다고 하는데	1	35.34	39.908	client	1
6	음	0	39.97	40.51	counselor	1
7	 그거에 대한 반쯤 불신도 있었고 과연 그렇게 해서 나아질 수 있을까 하는 것들도 있었는데	1	41.25	47.742	client	1
8	음	0	47.64	48.13	counselor	1
9	 좋아진 사람들도 되게 많다고 해서 나의 사례라면 어떨까 이런 좀 설렘이 있었던 것 같아요.	2	48.203	55.0	client	1
10	걱정에 대한 부분은 어떤 부분이 걱정이 좀 염려스러웠을까요?	0	56.1	60.015	counselor	1
11	같은 맥락으로 좀 했는데 뭐야 결국 나한테 바뀌는 게 없네 말하던가 그런 것들이 또 걱정이 되는 것 같아요.	2	59.9	69.94	client	1
12	그 상담에 대해서는 조금 이제 주변에 받으신 분들도 있고 이야기를 들으신 분들도 있어서 간접 경험은 좀 있으시네요?	0	71.48	79.95	counselor	1
13	많지는 않은데 조금은 있습니다.	2	80.507	83.007	client	1
14	음 그 신청서에는 무기력감이나 불안감에 대한 그 부분을 좀 이야기를 하셨는데 그 부분에 대해서 좀 이야기를 나눠주시면 좋을 것 같아요.	1	90.635	101.88	counselor	1
15	음 그 뭔가 무기력감, 불안감보다는 어쨌든 사람들이 살아갈 때 되게 외부 환경이 되게 힘들고 뭐 하더라도 가장 가까운 사람을 통해서 조금 편하고 힘을 얻고 이래야 되는데	1	101.878	121.714	client	1
16	음	0	121.615	122.07	counselor	1
17	 오히려 가장 가까운 사람들이 오히려 더 불편한 것 같아요.	2	122.55	125.69	client	1
18	음-	0	125.855	127.455	counselor	1
